onset,index,event,diameter,diameter_3d,interpolated,orig_idx,diameter_pc,diameter_3dpc,diameter_m,diameter_3dm,reject
0,19000.0,2.5,43.39634167515387,5.994756461620386,0.0,1586263728.2004383,-0.6092224320537648,-0.5814378600015709,-0.28212134387915244,-0.03754446731883054,0.0
1,19001.0,2.5,43.394974333610236,5.994584597161691,0.0,1586263728.2091644,-0.618336617951762,-0.5903757667241064,-0.28348868542277805,-0.037716331777525404,0.0
2,19002.0,2.5,43.39388217215135,5.994452783724459,0.0,1586263728.2173831,-0.6267209158577967,-0.5985320585311386,-0.2845808468816717,-0.037848145214758364,0.0
3,19003.0,2.5,43.393065065537506,5.994360900987681,0.0,1586263728.2258644,-0.6343667664097004,-0.6059004474123802,-0.2853979534955171,-0.037940027951536726,0.0
4,19004.0,2.5,43.39252596808403,5.99430920256717,0.0,1586263728.2345614,-0.6412542111265858,-0.6124643659493018,-0.2859370509489969,-0.03799172637204659,0.0
5,19005.0,2.5,43.39227047544013,5.994298261177517,0.0,1586263728.2428343,-0.6473534601295016,-0.6181984658792741,-0.28619254359290036,-0.03800266776170133,0.0
6,19006.0,2.5,43.39230628819631,5.994328903105524,0.0,1586263728.251124,-0.6526268391447797,-0.6230704378904586,-0.28615673083672194,-0.03797202583369283,0.0
7,19007.0,2.5,43.392642696513626,5.994402148437212,0.0,1586263728.2594926,-0.6570306424978628,-0.6270426718851944,-0.28582032251939204,-0.03789878050200555,0.0
8,19008.0,2.5,43.39329012749532,5.994519161952414,0.0,1586263728.2678707,-0.6605167735157358,-0.6300736546032097,-0.28517289153770364,-0.03778176698680286,0.0
9,19009.0,2.5,43.394259747616246,5.9946812108675145,0.0,1586263728.2763033,-0.6630342365387972,-0.6321192150401695,-0.2842032714167768,-0.037619718071702876,0.0
10,19010.0,2.5,43.39556307401143,5.9948896204458055,0.0,1586263728.28444,-0.6645305978314684,-0.6331337765904125,-0.28289994502158133,-0.03741130849341226,0.0
11,19011.0,2.5,43.397211481195505,5.995145711348323,0.0,1586263728.2931104,-0.6649536770530947,-0.6330718879319097,-0.2812515378375173,-0.037155217590893484,0.0
12,19012.0,2.5,43.39921550670849,5.995450705676423,0.0,1586263728.3015096,-0.6642537209006216,-0.6318902831582227,-0.27924751232453043,-0.03685022326279279,0.0
13,19013.0,2.5,43.40158399676743,5.995805607037608,0.0,1586263728.3100128,-0.6623860012854288,-0.6295504197981661,-0.27687902226559397,-0.036495321901609576,0.0
14,19014.0,2.5,43.40432325846798,5.996211077856439,0.0,1586263728.3185887,-0.6593134594588279,-0.6260211141794702,-0.27413976056504846,-0.03608985108277931,0.0
15,19015.0,2.5,43.4074364345393,5.99666734475715,0.0,1586263728.327119,-0.6550088269012195,-0.621280690339601,-0.2710265844937246,-0.03563358418206885,0.0
16,19016.0,2.5,43.410923244196496,5.99717415251968,0.0,1586263728.335282,-0.6494557875357551,-0.6153181973596313,-0.26753977483653346,-0.03512677641953729,0.0
17,19017.0,2.5,43.41477998619039,5.997730753222969,0.0,1586263728.3434973,-0.6426494404501003,-0.608133947248975,-0.26368303284264144,-0.03457017571624762,0.0
18,19018.0,2.5,43.418999472434464,5.998335886153845,0.0,1586263728.3517914,-0.6345970004125052,-0.5997403027291924,-0.2594635465985629,-0.03396504278537186,0.0
19,19019.0,2.5,43.4235706536538,5.998987716248942,0.0,1586263728.3602986,-0.6253193982024031,-0.5901633705221493,-0.2548923653792311,-0.033313212690272494,0.0
20,19020.0,2.5,43.428478025473055,5.999683744769262,0.0,1586263728.3684757,-0.614853460270531,-0.5794452461160465,-0.24998499355995893,-0.032617184169954676,0.0
21,19021.0,2.5,43.43370106877238,6.000420731200823,0.0,1586263728.3771813,-0.6032538555271618,-0.5676459288951288,-0.24476195026064657,-0.031880197738393894,0.0
22,19022.0,2.5,43.43921386229349,6.001194649352531,0.0,1586263728.3853242,-0.5905943589574126,-0.5548444110487666,-0.23924915673955074,-0.031106279586686443,0.0
