led,intensity,S,M,L,Rods,Mel
0,0,,,,,
0,65,,,,,
0,130,,,,,
0,195,,,,,
0,260,,,,,
0,325,,,,,
0,390,,,,,
0,455,,,,,
0,520,,,,,
0,585,,,,,
0,650,,,,,
0,715,,,,,
0,780,,,,,
0,845,,,,,
0,910,,,,,
0,975,,,,,
0,1040,,,,,
0,1105,,,,,
0,1170,,,,,
0,1235,,,,,
0,1300,,,,,
0,1365,,,,,
0,1430,,,,,
0,1495,,,,,
0,1560,,,,,
0,1625,,,,,
0,1690,,,,,
0,1755,,,,,
0,1820,,,,,
0,1885,,,,,
0,1950,,,,,
0,2015,,,,,
0,2080,,,,,
0,2145,,,,,
0,2210,,,,,
0,2275,,,,,
0,2340,,,,,
0,2405,,,,,
0,2470,,,,,
0,2535,,,,,
0,2600,,,,,
0,2665,,,,,
0,2730,,,,,
0,2795,,,,,
0,2860,,,,,
0,2925,,,,,
0,2990,,,,,
0,3055,,,,,
0,3120,,,,,
0,3185,,,,,
0,3250,,,,,
0,3315,,,,,
0,3380,,,,,
0,3445,,,,,
0,3510,,,,,
0,3575,,,,,
0,3640,,,,,
0,3705,,,,,
0,3770,,,,,
0,3835,,,,,
0,3900,,,,,
0,3965,,,,,
0,4030,,,,,
0,4095,,,,,
1,0,,,,,
1,65,,,,,
1,130,,,,,
1,195,,,,,
1,260,,,,,
1,325,,,,,
1,390,,,,,
1,455,,,,,
1,520,,,,,
1,585,,,,,
1,650,,,,,
1,715,,,,,
1,780,,,,,
1,845,,,,,
1,910,,,,,
1,975,,,,,
1,1040,,,,,
1,1105,,,,,
1,1170,,,,,
1,1235,,,,,
1,1300,,,,,
1,1365,,,,,
1,1430,,,,,
1,1495,,,,,
1,1560,,,,,
1,1625,,,,,
1,1690,,,,,
1,1755,,,,,
1,1820,,,,,
1,1885,,,,,
1,1950,,,,,
1,2015,,,,,
1,2080,,,,,
1,2145,,,,,
1,2210,,,,,
1,2275,,,,,
1,2340,,,,,
1,2405,,,,,
1,2470,,,,,
1,2535,,,,,
1,2600,,,,,
1,2665,,,,,
1,2730,,,,,
1,2795,,,,,
1,2860,,,,,
1,2925,,,,,
1,2990,,,,,
1,3055,,,,,
1,3120,,,,,
1,3185,,,,,
1,3250,,,,,
1,3315,,,,,
1,3380,,,,,
1,3445,,,,,
1,3510,,,,,
1,3575,,,,,
1,3640,,,,,
1,3705,,,,,
1,3770,,,,,
1,3835,,,,,
1,3900,,,,,
1,3965,,,,,
1,4030,,,,,
1,4095,,,,,
2,0,,,,,
2,65,,,,,
2,130,,,,,
2,195,,,,,
2,260,,,,,
2,325,,,,,
2,390,,,,,
2,455,,,,,
2,520,,,,,
2,585,,,,,
2,650,,,,,
2,715,,,,,
2,780,,,,,
2,845,,,,,
2,910,,,,,
2,975,,,,,
2,1040,,,,,
2,1105,,,,,
2,1170,,,,,
2,1235,,,,,
2,1300,,,,,
2,1365,,,,,
2,1430,,,,,
2,1495,,,,,
2,1560,,,,,
2,1625,,,,,
2,1690,,,,,
2,1755,,,,,
2,1820,,,,,
2,1885,,,,,
2,1950,,,,,
2,2015,,,,,
2,2080,,,,,
2,2145,,,,,
2,2210,,,,,
2,2275,,,,,
2,2340,,,,,
2,2405,,,,,
2,2470,,,,,
2,2535,,,,,
2,2600,,,,,
