x = temp. degC, y = integration time, z = pixel counts
z(x,y) = p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
px_num	rmse	p00	p10	p01	p20	p11	p30	p21
1	68.5404	1419.51	19.7992	9.39285e-06	-1.01755	-2.2599e-06	0.0139918	7.75108e-08	
2	63.562	1424.72	19.0778	6.96087e-06	-0.973644	-2.23142e-06	0.0132975	6.8284e-08	
3	94.6511	1393.66	25.9959	1.53439e-05	-1.36787	-2.81474e-06	0.0191684	1.19742e-07	
4	76.6288	1409.92	22.3085	8.67576e-06	-1.15111	-2.5968e-06	0.015905	8.74011e-08	
5	77.179	1409.23	22.1413	1.11191e-05	-1.14382	-2.45524e-06	0.0158012	9.11108e-08	
6	77.9315	1401.22	23.8753	5.83279e-06	-1.20678	-2.83448e-06	0.016459	8.12647e-08	
7	94.1323	1396.86	25.2447	1.60551e-05	-1.3355	-2.72105e-06	0.0187784	1.21467e-07	
8	94.5478	1397.84	25.1832	1.58166e-05	-1.33379	-2.7433e-06	0.0187721	1.2146e-07	
9	64.7155	1490.99	4.37893	-8.9341e-06	-0.318971	-8.79796e-07	0.00498799	1.55768e-08	
10	84.6852	1399.97	24.3386	1.11769e-05	-1.25545	-2.74224e-06	0.0173676	1.00808e-07	
11	92.8558	1398.71	24.7715	1.57257e-05	-1.30827	-2.67818e-06	0.0183471	1.17998e-07	
12	68.4878	1419.07	19.659	9.03061e-06	-1.01464	-2.23915e-06	0.0140163	7.90207e-08	
13	89.9105	1396.11	25.0644	1.43269e-05	-1.30945	-2.73242e-06	0.0182656	1.11069e-07	
14	88.2627	1402.55	23.5899	1.50736e-05	-1.23582	-2.52313e-06	0.0172386	1.08999e-07	
15	89.089	1399.64	24.3598	1.50042e-05	-1.28007	-2.60486e-06	0.0179127	1.12626e-07	
16	84.8663	1402.98	24.0053	1.25897e-05	-1.24782	-2.67156e-06	0.0173212	1.0351e-07	
17	78.4077	1411.15	21.8611	1.15302e-05	-1.1373	-2.43007e-06	0.0157904	9.37667e-08	
18	73.5101	1413.95	20.6846	1.13518e-05	-1.07555	-2.32317e-06	0.0149415	8.80938e-08	
19	71.1453	1415.75	20.2783	1.05545e-05	-1.04982	-2.24908e-06	0.0145305	8.3325e-08	
20	91.0264	1397.63	25.074	1.49269e-05	-1.31128	-2.69626e-06	0.0182794	1.12498e-07	
21	84.0533	1405.98	23.0913	1.37883e-05	-1.20471	-2.51381e-06	0.0167805	1.02531e-07	
22	62.0495	1425.55	18.0735	7.80724e-06	-0.925851	-2.07616e-06	0.0127154	6.73647e-08	
23	84.7034	1401.35	23.7086	1.30867e-05	-1.23357	-2.62577e-06	0.0171422	1.03609e-07	
24	151.762	1366.88	31.4887	1.57182e-05	-1.56784	-3.20456e-06	0.0210609	1.12393e-07	
25	57.7152	1427.16	17.8987	3.27224e-06	-0.906943	-2.22902e-06	0.0123732	5.80397e-08	
26	91.6365	1398.33	24.8247	1.51689e-05	-1.30852	-2.69311e-06	0.0183684	1.16174e-07	
27	76.3913	1412.92	21.3636	1.16418e-05	-1.11305	-2.36469e-06	0.0154901	9.16787e-08	
28	90.3588	1399.05	24.3114	1.54012e-05	-1.27719	-2.60518e-06	0.0178471	1.13026e-07	
29	77.5628	1405.51	22.6771	7.78522e-06	-1.16373	-2.64074e-06	0.0160377	8.85017e-08	
30	84.2703	1403.44	23.4664	1.16711e-05	-1.22069	-2.64516e-06	0.0169607	1.0175e-07	
