,0
0,337.6062317
1,338.0624807
2,338.5187629
3,338.9750784
4,339.4314271
5,339.8878091
6,340.3442243
7,340.8006728
8,341.2571545
9,341.7136695
10,342.1702177
11,342.6267992
12,343.0834139
13,343.5400618
14,343.996743
15,344.4534575
16,344.9102052
17,345.3669861
18,345.8238003
19,346.2806477
20,346.7375284
21,347.1944423
22,347.6513895
23,348.1083699
24,348.5653836
25,349.0224305
26,349.4795107
27,349.9366241
28,350.3937707
29,350.8509506
30,351.3081638
31,351.7654102
32,352.2226898
33,352.6800027
34,353.1373488
35,353.5947282
36,354.0521408
37,354.5095867
38,354.9670658
39,355.4245782
40,355.8821238
41,356.3397026
42,356.7973148
43,357.2549601
44,357.7126387
45,358.1703506
46,358.6280956
47,359.085874
48,359.5436856
49,360.0015304
50,360.4594085
51,360.9173198
52,361.3752644
53,361.8332422
54,362.2912533
55,362.7492976
56,363.2073751
57,363.6654859
58,364.12363
59,364.5818073
60,365.0400178
61,365.4982616
62,365.9565387
63,366.414849
64,366.8731925
65,367.3315693
66,367.7899793
67,368.2484226
68,368.7068991
69,369.1654089
70,369.6239519
71,370.0825281
72,370.5411376
73,370.9997804
74,371.4584564
75,371.9171656
76,372.3759081
77,372.8346839
78,373.2934929
79,373.7523351
80,374.2112106
81,374.6701193
82,375.1290613
83,375.5880365
84,376.047045
85,376.5060867
86,376.9651616
87,377.4242698
88,377.8834113
89,378.342586
90,378.8017939
91,379.2610351
92,379.7203096
93,380.1796173
94,380.6389582
95,381.0983324
96,381.5577398
97,382.0171805
98,382.4766544
99,382.9361616
100,383.395702
101,383.8552756
102,384.3148825
103,384.7745227
104,385.2341961
105,385.6939027
106,386.1536426
107,386.6134158
108,387.0732222
109,387.5330618
110,387.9929347
111,388.4528408
112,388.9127802
113,389.3727528
114,389.8327587
115,390.2927978
116,390.7528701
117,391.2129757
118,391.6731146
119,392.1332867
120,392.593492
121,393.0537306
122,393.5140025
123,393.9743076
124,394.4346459
125,394.8950175
126,395.3554223
127,395.8158604
128,396.2763317
129,396.7368363
130,397.1973741
131,397.6579451
132,398.1185494
133,398.579187
134,399.0398578
135,399.5005618
136,399.9612991
137,400.4220697
138,400.8828735
139,401.3437105
140,401.8045808
141,402.2654843
142,402.7264211
143,403.1873911
144,403.6483944
145,404.1094309
146,404.5705006
147,405.0316036
148,405.4927399
149,405.9539094
150,406.4151121
151,406.8763481
152,407.3376174
153,407.7989199
154,408.2602556
155,408.7216246
156,409.1830268
157,409.6444623
158,410.105931
159,410.567433
160,411.0289682
161,411.4905366
162,411.9521384
163,412.4137733
164,412.8754415
165,413.337143
166,413.7988777
167,414.2606456
168,414.7224468
169,415.1842812
170,415.6461489
171,416.1080498
172,416.569984
173,417.0319514
174,417.4939521
175,417.955986
176,418.4180532
177,418.8801536
178,419.3422872
179,419.8044541
180,420.2666543
181,420.7288877
182,421.1911543
183,421.6534542
184,422.1157873
185,422.5781537
186,423.0405533
187,423.5029862
188,423.9654523
189,424.4279517
190,424.8904843
191,425.3530502
192,425.8156493
193,426.2782816
194,426.7409472
195,427.2036461
196,427.6663782
197,428.1291435
198,428.5919421
199,429.0547739
200,429.517639
201,429.9805373
202,430.4434689
203,430.9064337
204,431.3694318
205,431.8324631
206,432.2955277
207,432.7586255
208,433.2217565
209,433.6849208
210,434.1481184
211,434.6113492
212,435.0746132
213,435.5379105
214,436.0012411
215,436.4646048
216,436.9280019
217,437.3914321
218,437.8548957
219,438.3183924
220,438.7819224
221,439.2454857
222,439.7090822
223,440.172712
224,440.636375
225,441.1000712
226,441.5638007
227,442.0275635
228,442.4913594
229,442.9551887
230,443.4190512
231,443.8829469
232,444.3468759
233,444.8108381
234,445.2748335
235,445.7388623
236,446.2029242
237,446.6670194
238,447.1311479
239,447.5953096
240,448.0595045
241,448.5237327
242,448.9879942
243,449.4522889
244,449.9166168
245,450.380978
246,450.8453724
247,451.3098001
248,451.774261
249,452.2387552
250,452.7032826
251,453.1678432
252,453.6324372
253,454.0970643
254,454.5617247
255,455.0264184
256,455.4911453
257,455.9559054
258,456.4206988
259,456.8855254
260,457.3503853
261,457.8152784
262,458.2802048
263,458.7451644
264,459.2101573
265,459.6751834
266,460.1402428
267,460.6053354
268,461.0704612
269,461.5356203
270,462.0008127
271,462.4660383
272,462.9312971
273,463.3965892
274,463.8619145
275,464.3272731
276,464.792665
277,465.25809
278,465.7235484
279,466.1890399
280,466.6545647
281,467.1201228
282,467.5857141
283,468.0513387
284,468.5169965
285,468.9826875
286,469.4484118
287,469.9141693
288,470.3799601
289,470.8457842
290,471.3116415
291,471.777532
292,472.2434558
293,472.7094128
294,473.175403
295,473.6414266
296,474.1074833
297,474.5735733
298,475.0396966
299,475.5058531
300,475.9720428
301,476.4382658
302,476.9045221
303,477.3708116
304,477.8371343
305,478.3034903
