board_temp,micro_temp,integration_time,model,led,intensity
32.31371307,59.69726563,352000,STS,9,3900
32.42861176,60.09277344,49152000,STS,7,195
32.42861176,60.09277344,768000,STS,6,3770
32.42861176,60.29052734,1152000,STS,9,1105
32.42861176,60.09277344,2048000,STS,1,1170
32.54372025,60.29052734,1024000,STS,0,3445
32.54372025,60.09277344,640000,STS,7,3185
32.54372025,60.09277344,1024000,STS,0,3315
32.54372025,60.09277344,6144000,STS,6,455
32.54372025,60.09277344,1280000,STS,0,2665
32.54372025,60.29052734,640000,STS,7,2925
32.54372025,60.09277344,1024000,STS,8,1950
32.54372025,60.29052734,512000,STS,9,2535
32.65903473,60.09277344,640000,STS,6,4095
32.54372025,60.29052734,768000,STS,7,2340
32.65903473,60.09277344,640000,STS,4,3705
32.65903473,60.48828125,896000,STS,0,4030
32.65903473,60.09277344,1024000,STS,5,2860
32.65903473,60.29052734,40960000,STS,2,195
32.77455521,60.48828125,85000000,STS,1,0
32.77455521,60.29052734,768000,STS,1,3835
32.77455521,60.48828125,1408000,STS,3,2470
32.77455521,60.48828125,2560000,STS,7,910
32.77455521,60.68603516,1536000,STS,7,1300
32.77455521,60.48828125,1152000,STS,5,2535
32.77455521,60.48828125,1024000,STS,7,1820
32.77455521,60.48828125,1024000,STS,1,2730
32.89028549,60.48828125,1280000,STS,4,1755
32.89028549,60.48828125,2048000,STS,4,845
32.89028549,60.48828125,1280000,STS,9,975
32.89028549,60.48828125,896000,STS,1,3250
32.89028549,60.48828125,1152000,STS,3,3055
32.89028549,60.48828125,640000,STS,8,3380
32.89028549,60.68603516,40960000,STS,8,65
32.89028549,60.48828125,1024000,STS,1,2600
32.89028549,60.68603516,1280000,STS,2,2275
32.89028549,60.48828125,1792000,STS,5,1430
32.89028549,60.48828125,896000,STS,6,2860
33.00622559,60.48828125,640000,STS,9,2015
32.89028549,60.48828125,1408000,STS,0,2210
33.00622559,60.68603516,1024000,STS,4,2275
33.00622559,60.68603516,1024000,STS,7,1950
33.00622559,60.48828125,896000,STS,4,2795
33.00622559,60.48828125,2560000,STS,2,910
33.00622559,60.48828125,2048000,STS,2,1170
33.00622559,60.48828125,384000,STS,9,3575
33.00622559,60.68603516,1152000,STS,3,2990
33.00622559,60.48828125,640000,STS,7,3055
33.00622559,60.68603516,1408000,STS,4,1430
33.00622559,60.48828125,3072000,STS,0,910
33.00622559,60.68603516,85000000,STS,4,0
33.00622559,60.68603516,1536000,STS,1,1820
33.00622559,60.68603516,5120000,STS,5,390
33.1223793,60.48828125,4096000,STS,8,260
33.1223793,60.68603516,2816000,STS,2,780
33.1223793,60.88379669,1280000,STS,3,2600
33.1223793,60.68603516,640000,STS,7,2795
33.1223793,60.48828125,2048000,STS,3,1495
33.1223793,60.68603516,448000,STS,9,2990
33.1223793,60.68603516,1280000,STS,2,2210
33.1223793,60.68603516,10240000,STS,4,195
33.1223793,60.68603516,768000,STS,1,3445
33.1223793,60.68603516,24576000,STS,6,195
33.1223793,60.68603516,896000,STS,0,3965
33.1223793,60.68603516,2048000,STS,6,1365
33.1223793,60.68603516,640000,STS,4,3835
33.1223793,60.68603516,85000000,STS,6,0
33.1223793,60.68603516,1280000,STS,0,2470
33.1223793,60.68603516,2304000,STS,7,975
33.1223793,60.88379669,1024000,STS,4,2015
33.1223793,60.48828125,1152000,STS,0,2795
33.1223793,60.88379669,1792000,STS,9,650
33.23875046,60.68603516,896000,STS,5,3640
33.1223793,60.68603516,1024000,STS,5,3185
33.1223793,60.68603516,1792000,STS,4,1105
33.1223793,60.88379669,896000,STS,1,3055
33.1223793,60.48828125,896000,STS,5,3770
33.1223793,60.68603516,1792000,STS,8,1105
33.1223793,60.68603516,1024000,STS,5,3120
33.23875046,60.88379669,2048000,STS,2,1235
33.23875046,60.68603516,512000,STS,9,2730
33.23875046,60.68603516,1024000,STS,5,2925
33.23875046,60.88379669,1024000,STS,2,3055
33.23875046,60.68603516,85000000,STS,0,0
33.1223793,60.88379669,1792000,STS,9,585
33.23875046,60.68603516,576000,STS,7,3250
33.23875046,60.68603516,1024000,STS,2,2990
33.23875046,60.88379669,1536000,STS,6,1625
33.23875046,60.88379669,896000,STS,6,3055
33.23875046,60.68603516,4096000,STS,9,260
33.23875046,60.88379669,768000,STS,7,2535
33.23875046,60.88379669,896000,STS,3,4095
33.23875046,60.88379669,1280000,STS,6,2015
33.23875046,60.88379669,1792000,STS,0,1755
33.23875046,60.68603516,1152000,STS,8,1690
33.23875046,60.68603516,1024000,STS,0,2990
33.23875046,60.68603516,1024000,STS,2,2925
33.23875046,60.88379669,2560000,STS,3,1235
33.23875046,60.88379669,1152000,STS,1,2210
33.23875046,60.88379669,1536000,STS,2,1690
33.35533524,60.88379669,6144000,STS,8,195
33.35533524,60.68603516,7168000,STS,0,325
