rmv,LEDs_temp,drivers_temp,board_temp,micro_temp,integration_time,input_power,dimming_level,led,intensity
0.020873882,24.88,26.15,29.52,34.84,748,4718,100,2,2470
0.019144915,25.52,26.19,29.48,35.13,771,2804,100,0,1430
0.015399246,25.72,25.99,29.74,35.43,817,4383,100,3,2340
0.021813853,27.59,26.19,29.44,34.55,745,16445,100,6,3835
0.024513729,30.35,26.19,29.63,34.84,792,3301,100,9,1690
0.020681508,26.07,26.19,29.55,34.55,803,6856,100,4,2860
0.02348174,26.78,26.31,29.55,34.55,793,6258,100,3,3705
0.045780443,27.59,26.27,29.66,34.26,722,5383,100,9,3250
0.010037438,26.43,26.23,29.59,34.84,799,2142,100,8,975
0.016749684,25.36,26.27,29.85,35.13,825,2679,100,1,1300
0.000550229,25.16,26.31,29.66,34.26,1111,1540,100,6,195
0.015244216,25.76,26.07,29.63,34.26,815,11690,100,6,2665
0.025377639,28.54,26.15,29.66,34.55,651,3285,100,0,2015
0.024387967,25.36,26.15,29.66,35.13,654,3197,100,0,1885
0.00860283,25.36,26.15,29.63,34.55,810,5031,100,7,1040
0.008519886,26.15,26.35,29.66,34.26,770,1962,100,0,585
0.0008524,25.12,26.15,29.59,34.55,1020,1631,100,7,260
0.027350007,24.84,26.03,29.44,34.26,348,3377,100,0,2145
0.013987297,25.04,26.03,29.52,34.84,829,3448,100,2,1495
0.008529564,25.36,26.11,29.4,34.26,801,3759,100,5,1365
0.003600545,25.6,25.99,29.63,34.26,854,3470,100,6,650
0.010207073,25.76,26.11,29.52,34.26,823,4432,100,5,1690
0.022309551,26.19,25.99,29.33,34.26,695,5939,100,3,3510
0.016582973,27.05,25.99,29.44,34.55,768,7366,100,5,3120
0.021329885,26.82,26.15,29.48,34.84,749,3129,100,9,1430
0.00918829,25.72,25.99,29.44,34.55,791,3169,100,4,1040
0.027008351,25.36,26.15,29.48,34.84,752,3574,100,8,2860
0.024233682,25.44,26.07,29.44,34.84,743,8028,100,4,3510
0.010317982,26.27,26.15,29.52,34.55,819,4533,100,5,1755
0.011327325,26.04,26.15,29.55,34.55,828,2173,100,0,780
0.017452452,25.52,26.11,29.4,34.55,1258,4979,100,3,2730
0.012591596,26.78,26.03,29.7,34.84,768,2411,100,8,1235
0.015790394,25.56,25.99,29.7,34.55,816,8486,100,7,1755
0.034454413,26.97,26.31,29.52,34.84,587,4392,100,8,4095
0.044044238,25.68,26.39,29.66,34.55,425,5068,100,1,3965
0.00906111,25.96,26.07,29.59,34.55,818,3038,100,3,1300
0.012272705,25.92,26.31,29.7,34.84,798,5405,100,5,2145
0.002959279,26.27,26.15,29.59,34.84,958,1880,100,5,390
0.019979106,26.15,26.11,29.63,34.55,649,15124,100,6,3510
0.023069095,31.33,26.07,29.59,34.55,793,17876,100,6,4095
0.013265031,31.48,26.35,29.44,34.84,827,7274,100,7,1495
0.011397252,27.39,26.35,29.4,34.84,842,3619,100,3,1690
0.019236043,26.54,26.39,29.66,34.84,808,6352,100,4,2600
0.026347689,26.43,26.38,29.7,34.55,740,3511,100,9,1755
0.022848029,26.47,26.39,29.66,34.55,844,6105,100,3,3575
0.014710495,27.97,26.38,29.89,34.84,766,11454,100,6,2600
0.022040231,29.21,26.42,29.7,34.26,698,7275,100,4,3120
0.014043794,26.93,26.54,29.89,34.84,776,3444,100,2,1560
0.000144385,25.96,26.46,29.7,35.13,2962,1348,100,5,65
0.007837234,24.68,25.88,28.92,34.55,831,1910,100,9,520
0.034792695,24.88,25.8,29.4,34.26,680,4315,100,9,2405
0.048412886,25.44,25.88,29.37,34.55,670,5658,100,9,3510
0.025810681,25.88,25.95,29.29,34.55,741,13727,100,7,2860
0.018404728,27.93,25.99,29.37,34.26,807,4254,100,2,2080
0.004419004,25.48,26.07,29.37,34.55,895,1807,100,2,325
0.021495197,24.96,26.23,29.25,34.84,802,6926,100,4,2925
0.036834419,26.04,26.03,29.33,34.26,775,4828,100,9,2795
0.006401905,25.84,26.03,29.4,34.26,784,4056,100,7,845
0.039413825,25.72,26.07,29.29,34.55,479,4633,100,1,3445
0.039205719,25.4,26.19,29.25,34.84,433,4383,100,0,3185
0.043860517,25.56,26.19,29.29,34.26,721,5511,100,9,3380
3.50E-05,25.88,26.07,29.37,34.26,1751,1329,100,7,65
0.004520892,24.48,25.76,29.22,34.55,839,1819,100,2,390
0.018448284,26.86,25.8,28.96,33.96,758,8330,100,5,3640
0.022843516,26.93,25.72,29.07,33.67,708,3103,100,0,1755
0.007641544,25.08,25.72,29.07,34.26,844,1843,100,8,585
0.005203293,24.96,25.8,29.03,33.67,833,4627,100,6,910
0.011611849,25.88,25.76,28.99,34.26,764,2257,100,1,845
0.04107761,24.8,25.88,29.07,33.96,431,4472,100,0,3380
0.019562716,25.16,25.76,29.22,33.96,804,10360,100,7,2145
0.013042415,26.97,25.84,29.22,34.26,782,3293,100,2,1430
0.006949228,25.28,25.92,29.22,34.26,797,3129,100,5,1040
0.009449197,25.4,25.95,29.11,34.26,878,4240,100,5,1625
0.012463225,25.6,25.92,29.11,33.67,775,2336,100,8,1170
0.042591814,25.08,25.88,28.99,34.26,773,5092,100,9,3055
0.001294887,25.6,25.84,29.11,34.26,1075,1413,100,0,130
0.027960217,24.52,25.76,29.22,34.55,492,3703,100,1,2340
0.005754203,24.76,25.76,29.22,34.55,795,2301,100,4,585
0.025159409,25.28,25.84,29.11,34.26,689,6699,100,3,4095
0.01419311,27.05,25.72,29.22,34.26,831,6245,100,5,2600
0.000977775,26.35,25.72,29.22,34.55,1136,1433,100,2,130
0.030482698,25.28,25.76,29.07,34.26,784,3948,100,9,2080
0.02630675,25.64,25.68,29.22,33.67,740,13919,100,7,2925
0.037930142,27.89,25.76,29.22,34.55,777,4636,100,9,2665
0.006721131,26.11,26.15,29.07,34.26,794,5686,100,6,1170
0.00249828,26.35,25.92,29.26,33.67,990,1482,100,0,195
0.012353345,25.84,25.84,29.26,34.26,795,5480,100,5,2210
0.029630454,26,25.84,29.22,34.84,697,3906,100,8,3185
0.013376537,25.2,25.88,29.22,34.55,813,2401,100,8,1300
0.000635923,24.88,25.88,29.26,34.26,1666,1432,100,5,130
0.020658631,24.64,25.84,29.26,34.26,804,6711,100,4,2795
0.002644725,25.48,25.72,29.14,34.26,2421,1498,100,1,195
0.015103254,25,25.88,29.14,34.26,820,3639,100,2,1690
0.010365993,25.48,25.88,29.22,33.96,794,8269,100,6,1820
0.025052117,27.05,25.92,29.11,33.96,739,5468,100,2,3055
0.022855246,25.52,25.8,29.14,34.55,706,3092,100,0,1820
0.019476341,25.32,25.95,29.26,33.96,803,5272,100,3,2990
0.024716847,26.39,25.99,29.26,34.55,653,3182,100,0,1950
0.011119934,25.12,25.99,29.22,34.26,811,4816,100,5,1885
0.006011899,25.72,25.84,29.29,34.26,840,2769,100,5,845
1.25E-05,25.2,25.88,29.29,34.26,3040,1262,100,6,0
0.014054251,24.32,25.52,29.07,33.96,797,2385,100,0,1040
0.020312227,24.52,25.56,28.99,33.67,804,9256,100,5,3965
0.016179131,26.66,25.6,28.96,33.67,794,2617,100,8,1560
0.001762079,24.88,25.6,28.77,33.67,865,2343,100,6,390
0.029282378,25.04,25.6,28.99,33.96,486,15471,100,7,3250
0.003166493,28.12,25.92,28.96,33.96,881,3267,100,6,585
0.044461701,25.28,25.76,28.96,33.96,378,4905,100,0,3770
0.033076521,25.44,25.76,28.81,34.26,632,17557,100,7,3705
0.006692949,28.95,26.03,28.99,33.96,801,1827,100,0,390
0.017821511,24.8,25.99,28.96,33.38,775,2678,100,0,1365
0.024024593,24.88,25.99,28.99,34.26,744,8009,100,4,3445
0.020673376,25.88,25.8,28.99,34.26,800,4633,100,2,2405
0.008988518,25.44,25.92,29.07,33.96,795,3969,100,5,1430
0.009888515,25.52,25.92,29.22,34.26,817,2141,100,9,585
0.007745694,25.16,25.88,28.88,33.67,797,2813,100,3,1040
0.016085383,25.32,25.92,29.26,34.26,772,5203,100,4,2080
0.014087559,26,25.6,29.11,34.55,775,4174,100,3,2080
0.006346539,26,25.8,29.22,33.96,823,1812,100,9,390
0.006000178,24.72,25.8,29.26,34.55,822,2348,100,4,650
0.013305139,24.96,25.92,29.29,34.26,793,2389,100,1,1040
0.007769816,24.96,25.72,29.41,34.55,789,2849,100,3,1105
0.017416039,25.24,25.8,29.41,34.55,809,4028,100,2,2015
0.020805107,25.4,25.84,29.22,34.55,801,10921,100,7,2275
0.023867337,27.32,25.99,29.29,34.55,794,12745,100,7,2665
0.022990141,29.1,26.19,29.25,34.55,793,17795,100,6,4030
0.014637838,31.26,26.19,29.55,33.96,767,2646,100,9,1040
0.00834324,25.72,26.15,29.37,34.26,808,3686,100,5,1300
0.002234114,25.72,26.11,29.22,33.96,1037,1627,100,4,260
0.00614836,24.8,26.07,29.22,34.26,794,2430,100,3,780
0.024288973,25.28,26.19,29.52,34.26,743,3429,100,9,1625
0.030622745,25.32,25.88,29.37,34.55,681,6774,100,2,3900
0.01050493,25.84,26.31,29.26,34.55,799,3411,100,3,1560
0.018869082,26.7,25.95,29.52,34.55,802,14310,100,6,3315
0.018704839,29.39,26.03,29.4,34.26,761,6047,100,4,2470
0.010115531,26.27,25.92,29.48,34.55,762,2817,100,2,1040
0.009203071,25.64,26.19,29.4,34.55,804,7497,100,6,1625
0.012226961,27.16,26.15,29.52,34.26,790,3136,100,2,1300
0.012277523,26,26.11,29.29,34.84,880,9723,100,6,2145
0.012181384,27.97,26.07,29.4,34.84,849,4079,100,4,1495
2.55E-05,25.56,26.11,29.4,34.26,1749,1257,100,3,0
0.005824797,24.28,25.48,28.96,33.96,819,1965,100,2,520
0.018572284,26.66,25.68,28.84,33.96,1056,8597,100,5,3770
0.005775557,26.86,25.68,29.03,33.67,806,1777,100,9,325
0.044182401,24.92,25.6,28.99,33.96,622,5269,100,9,3185
0.045995392,25.52,25.76,28.88,34.26,377,4949,100,0,3835
0.002370304,24.92,25.56,29.03,33.96,844,2272,100,7,455
0.014010351,24.92,25.8,28.81,34.26,783,6189,100,5,2535
0.014014944,25.96,25.76,28.99,34.55,803,2283,100,0,975
