led,intensity,S,M,L,Rods,Mel
0,0,5.175407616908691e-16,8.661721096152541e-12,1.645815183826758e-11,1.3295487461862955e-12,2.486165103348911e-13
0,65,7.797343192666348e-08,6.113556362430604e-09,4.331392542346231e-09,2.145631617751465e-08,2.726898476651402e-08
0,130,2.3388636397576809e-07,2.1829197307288674e-08,1.7222370153510755e-08,6.729972998550447e-08,8.443648595299701e-08
0,195,4.493755694899143e-07,4.6456080639265e-08,3.8342258878842796e-08,1.3337900099121735e-07,1.6582901465819015e-07
0,260,8.781542093794446e-07,9.46524042176729e-08,7.945900241620586e-08,2.6415855980876656e-07,3.272250349596796e-07
0,325,9.705937447078115e-07,1.043137505025951e-07,8.750683148009993e-08,2.9161314488935137e-07,3.6134503376294457e-07
0,390,1.2163891368408245e-06,1.313747595304889e-07,1.1037211410172186e-07,3.661652734680353e-07,4.535369437069671e-07
0,455,1.237784306354313e-06,1.3351226176335642e-07,1.121731729940218e-07,3.724329367455558e-07,4.6135844039512266e-07
0,520,1.5593571168006858e-06,1.6880472335883297e-07,1.4191030775431172e-07,4.699427926168744e-07,5.819628698445296e-07
0,585,1.538360705400768e-06,1.661595142085398e-07,1.3944624832442647e-07,4.6338213843447145e-07,5.739581338105578e-07
0,650,1.8915431018212806e-06,2.0717044036995686e-07,1.7476081575121597e-07,5.726126495690919e-07,7.083158550518963e-07
0,715,1.9030914757996204e-06,2.0857823807005046e-07,1.760960972179351e-07,5.761301422595643e-07,7.12639469276299e-07
0,780,2.0498023543477702e-06,2.2559905283698116e-07,1.9056618753526246e-07,6.218108467402946e-07,7.688063950472232e-07
0,845,2.2390003793956947e-06,2.444473486766645e-07,2.0600249354736628e-07,6.772625100586107e-07,8.379962115878291e-07
0,910,2.2487441182132464e-06,2.4622147185150706e-07,2.0756200169341557e-07,6.810433011046485e-07,8.424196568180909e-07
0,975,2.5537051597306095e-06,2.803400324550276e-07,2.3637038165795592e-07,7.746275504172083e-07,9.579229065610567e-07
0,1040,2.5602042501538623e-06,2.8128065902903136e-07,2.3726843537356397e-07,7.766489998593105e-07,9.603528682391503e-07
0,1105,2.858471828834584e-06,3.1681027409322363e-07,2.6788377772890015e-07,8.703416315525794e-07,1.0752674563741431e-06
0,1170,2.938600122178421e-06,3.246731013063549e-07,2.7430096778177396e-07,8.941645203854241e-07,1.104996730002039e-06
0,1235,3.044509013692387e-06,3.356784446542051e-07,2.83066826098409e-07,9.262379881155756e-07,1.1447969700102407e-06
0,1300,3.2426561801592305e-06,3.5591586281236733e-07,2.99614942748605e-07,9.85199532208053e-07,1.2181647333052547e-06
0,1365,3.2397696362195245e-06,3.55041458925179e-07,2.984505356329086e-07,9.839604037160186e-07,1.2167817203764101e-06
0,1430,3.5199617346412214e-06,3.855490069326098e-07,3.235713082894657e-07,1.0698081995324041e-06,1.3229181050675858e-06
0,1495,3.6272182038935662e-06,4.04026620560879e-07,3.4173345531474756e-07,1.108157607937405e-06,1.368173886396369e-06
0,1560,3.835849214565837e-06,4.251128535367754e-07,3.5847497725578966e-07,1.1710714816501381e-06,1.4464755347179284e-06
0,1625,3.967397012151765e-06,4.382472751215911e-07,3.6882138476809465e-07,1.2104505304698161e-06,1.4955118484434833e-06
0,1690,3.973490375341681e-06,4.392073087778579e-07,3.6988350446839544e-07,1.2118913773228012e-06,1.497194600496103e-06
0,1755,4.244653967780484e-06,4.739940255685178e-07,3.999801859716656e-07,1.3008486427562286e-06,1.6054049269004907e-06
0,1820,4.275127343851786e-06,4.7624881674154636e-07,4.0162615384836173e-07,1.3091200322826046e-06,1.6159381019882605e-06
0,1885,4.520802378149854e-06,4.989087203542567e-07,4.1847621889497927e-07,1.3812742876260548e-06,1.7063590392744216e-06
0,1950,4.6044250376621845e-06,5.096975794906627e-07,4.282223843574862e-07,1.4083454488243422e-06,1.7392860296256548e-06
0,2015,4.682470906747447e-06,5.154381375873775e-07,4.316469946465582e-07,1.430255641956303e-06,1.7671837792928211e-06
0,2080,5.002759482227171e-06,5.573035209006221e-07,4.687628183302171e-07,1.5349774151848931e-06,1.8943428576156027e-06
0,2145,4.943431100184332e-06,5.50725219865094e-07,4.633280991059166e-07,1.5164781280342952e-06,1.871561550328105e-06
0,2210,5.307751128459721e-06,5.898642501612666e-07,4.950135009244717e-07,1.6288918815015037e-06,2.010521714629773e-06
0,2275,5.343688252529769e-06,5.92095460567037e-07,4.967892501208293e-07,1.6373841875610453e-06,2.021700865282471e-06
0,2340,5.523783430701477e-06,6.116047626220272e-07,5.124502468601535e-07,1.6935908055220374e-06,2.0911170707227686e-06
0,2405,5.689998203185568e-06,6.348387522963593e-07,5.33057479591501e-07,1.7500567727702643e-06,2.1590630435542536e-06
0,2470,5.70771382295369e-06,6.366675565441118e-07,5.342888001102464e-07,1.7557021472339272e-06,2.1660671818925395e-06
0,2535,6.0096922755936645e-06,6.7273611435956e-07,5.652870581706056e-07,1.8512806365584618e-06,2.2832049694640446e-06
0,2600,6.0280102028837595e-06,6.753977607093234e-07,5.675366131087939e-07,1.8577202549837653e-06,2.2908560165241525e-06
0,2665,6.318726798363074e-06,7.044447014944437e-07,5.900596665554101e-07,1.9464289119712695e-06,2.4011201360628278e-06
0,2730,6.384813217021944e-06,7.128187342429854e-07,5.972624911355492e-07,1.9677446843763813e-06,2.427099966603528e-06
0,2795,6.453325621149626e-06,7.184085218924532e-07,6.015141332638366e-07,1.9865131856615635e-06,2.4509973592031843e-06
0,2860,6.692174943834544e-06,7.436796553136401e-07,6.214683063587265e-07,2.0603762786235356e-06,2.5422880469072047e-06
0,2925,6.731777009939022e-06,7.479566060851404e-07,6.245539702894975e-07,2.07368936904651e-06,2.558681593915377e-06
0,2990,6.991656060491828e-06,7.835328956283676e-07,6.560458925769308e-07,2.1607740587075976e-06,2.663819460971832e-06
