uW,onset,pupil,valid,pupil_pc
1,-1.0,5.674,1.0,-1.3624061952557454
1,-0.967,5.7204,1.0,-0.5576828889147611
1,-0.933,5.7024,1.0,-0.891711968661566
1,-0.9,5.684,1.0,-1.200847052327061
1,-0.866,5.6972000000000005,1.0,-0.9699582175794053
1,-0.833,5.7116,1.0,-0.7233325960061787
1,-0.7989999999999999,5.703,1.0,-0.8722732137317735
1,-0.766,5.714,1.0,-0.6776669953031078
1,-0.733,5.7384,1.0,-0.2651327017750904
1,-0.6990000000000001,5.723000000000001,1.0,-0.5249020437069318
1,-0.6659999999999999,5.736,1.0,-0.30087883493862266
1,-0.632,5.7458,1.0,-0.1325845218752808
1,-0.599,5.7496,1.0,-0.05984943334619075
1,-0.5660000000000001,5.755,1.0,0.025892109774794392
1,-0.532,5.766,1.0,0.21777016012501926
1,-0.499,5.7576,1.0,0.07179418341323185
1,-0.46499999999999997,5.758,1.0,0.08895575768955499
1,-0.43200000000000005,5.7636,1.0,0.18338181100047368
1,-0.398,5.8178,1.0,1.0844029815018663
1,-0.365,5.781000000000001,1.0,0.48704860644531056
1,-0.33199999999999996,5.787000000000001,1.0,0.5953108933384632
1,-0.29800000000000004,5.7752,1.0,0.3837028084919947
1,-0.265,5.7796,1.0,0.468720158822058
1,-0.23099999999999998,5.779,1.0,0.45650157795048774
1,-0.19799999999999995,5.7734000000000005,1.0,0.3637271872864045
1,-0.16400000000000003,5.7796,1.0,0.46802118114740665
1,-0.131,5.8107999999999995,1.0,0.9852856240769992
1,-0.09799999999999998,5.7808,1.0,0.49360913356412794
1,-0.06399999999999995,5.8178,1.0,1.0912070619764291
1,-0.031000000000000028,5.8162,1.0,1.073895426817153
1,0.0029999999999998916,5.8364,1.0,1.3986860712146032
1,0.03600000000000003,5.8052,1.0,0.8725463342629203
1,0.07000000000000006,5.7928,1.0,0.6833257285592143
1,0.10299999999999998,5.7896,1.0,0.6148562300149751
1,0.1359999999999999,5.8088,1.0,0.939193334715911
1,0.16999999999999993,5.7706,1.0,0.2938916603133346
1,0.20300000000000007,5.7985999999999995,1.0,0.7526868132080256
1,0.2370000000000001,5.7592,1.0,0.0732465140726779
1,0.27,5.6476,1.0,-1.883445046293557
1,0.30299999999999994,5.419,1.0,-5.85627787996003
1,0.33699999999999997,5.2516,1.0,-8.803078332253714
1,0.3700000000000001,4.9592,1.0,-13.833847338605347
1,0.4039999999999999,4.7700000000000005,1.0,-17.149071130843488
1,0.43700000000000006,4.5568,1.0,-20.833018687406632
1,0.4710000000000001,4.3878,1.0,-23.778103397342555
1,0.504,4.2336,1.0,-26.453117851493527
1,0.5369999999999999,4.1046,1.0,-28.69782473199725
1,0.571,3.9905999999999997,1.0,-30.675740312610763
1,0.6040000000000001,3.8964,1.0,-32.31635207987414
1,0.6379999999999999,3.8292,1.0,-33.48997111196694
1,0.671,3.7672,1.0,-34.559814154942
1,0.7050000000000001,3.7060000000000004,1.0,-35.62383193977518
1,0.738,3.6676,1.0,-36.293002505103274
